name,description,website
SignalPath,"Verily Viewpoint Site CTMS (formerly SignalPath) is an advanced clinical trial management system that enables faster, higher-quality and more cost-effective research for enterprise research sites.",verily.com/solutions/viewpoint/site-ctms
Informed.IQ,"Employment & Income Verifications For Financial Institutions, Tenant Screeners and Gov't Program Admini. Instant, accurate verifications with less fraud.",informediq.com
Clarapath,Clarapath,clarapath.com
"Altinity, Inc.","Build ClickHouse-based analytics applications that detect, analyze, and leverage real-time insights for any use case in any environment.",altinity.com
"Rocketstar, Inc.","Operator of a satellite launch company intended to offer a proprietary aerospike propulsion system for rockets. The company's system is differentiated from traditional bell nozzle engines by the significant economies of scale gained from true reusability, single-stage-to-orbit, and altitude compensation capabilities and is designed to carry small satellites, microsats, nanosats, and CubeSats into low earth orbit, enabling clients to get a cost-effective, reusable, reliable and environmentally friendly rocket engine.",rocketstar.nyc
Anvyl,"Your supply chain’s single source of truth, increasing transparency from PO issuance through delivery to warehouse. Learn more about Anvyl.",anvyl.com
Vocodia,Vocodia Holdings Corp is an AI software company that builds practical AI functions and makes them easily obtainable for businesses on cloud-based platform solutions at low costs and scalable to multiagent vast enterprise solutions..,vocodia.com
Concentric AI,"Autonomous data discovery, classification, risk monitoring, and remediation with Concentric AI, the Data Security Governance Platform.",concentric.ai
Nimbus,"Shopify provides a reliable Ecommerce platform so you focus on selling online! Integrated hosting, shopping cart and Ecommerce payment solution all in one!",nimbus.green
PhaseV,"PhaseV develops a platform for adaptive clinical trial design and closed-loop execution, leveraging an intuitive user interface and flexible software architecture along with cutting-edge algorithms such as reinforcement learning and causal ML to support key clinical decisions at any point during the trial",phasevtrials.com
HealthLytix,"Provider of medical services based in San Diego, California. The company develops new advances in genetics and medical imaging to create better clinical tools for risk prediction, early detection of cancer and early diagnosis.",
T-REX,"Developer of a data management and cashflow analytics platform designed for modeling and managing complex investments across private credit and structured finance markets. The company's platform automates the collection, validation, and digitization of all performance data from disparate sources, it also enables advanced analytics on the underlying collateral, assets, and entire portfolios, enabling investors and asset managers to efficiently finance, securitize, and manage their assets.",trexgroup.com
Orderly by Siftit Inc.,Orderly is your hassle-free way to a smarter restaurant. Stop taking inventory and worrying about that stack of invoices. Get food cost management and cost of goods sold without all the work.,getorderly.com
Klarity,"Developer of a document processing technology intended to automate the contract review process. The company's technology uses Artificial Intelligence to review sales contracts under company legal policy pulls contacts from the company's emails and databases and returns them reviewed in a word format with annotations and red lines along with a summary, enabling organizations to accelerate sales and good compliance without having to think of contract review anymore.",klarity.ai
Rondo Therapeutics,"We are committed to advancing the field of immuno-oncology, with a focus on treating solid tumors that fail to respond to current therapies.",rondotx.com
Instil Bio,"Instil Bio Inc is a clinical-stage biopharmaceutical company focused on developing a cell therapy pipeline of autologous tumor infiltrating lymphocyte, or TIL, therapies for the treatment of patients with cancer. It is also engaged in developing a novel class of genetically engineered TIL therapies using its Co-Stimulatory Antigen Receptor, or CoStAR, platform. Its pipeline includes ITIL-306 which expresses a CoStAR molecule designed to recognize, a tumor-associated antigen that is expressed on numerous solid tumors, including ovarian cancer, uterine cancer, NSCLC, and renal cancer.",instilbio.com
Cowboy Clean Fuels,Cowboy Clean Fuels Leverages Geologic Carbon Removal & Sequestration with Renewable Energy Production,cowboycleanfuels.com
Unwrap.ai,Gain deeper customer insights with a customer intelligence platform that proactively reveals what matters most to your audience.,unwrap.ai
SIGNiX Digital Signature & eNotary Technology,"Developer of a cloud-based electronic signature platform designed to get documents signed securely online. The company's platform features an easy-to-use dashboard to prepare documents in easy steps and track documents in real-time, enabling clients to sign and verify documents online without a hassle.",
Sanlo,"Run live ops and accept payments across web shops, web games, and alternative app stores. Break free from the walled gardens.",sanlo.io
Rantizo,"Fly more acres, deliver better service. The equipment, tools, and expertise you need to be the grower's first call for drone spray services.",rantizo.com
Dooly,"Dooly helps revenue teams win more deals by improving CRM hygiene, running a winning sales process, and eliminating low value work.",dooly.ai
HueDx,"Discover HueDx's cutting-edge AI tools and portable lab solutions that accelerate assay development, reduce costs, and bring lab-grade diagnostics to point-of-care settings. Ideal for assay developers, healthcare providers, and wellness sectors.",huedx.com
Springbok Analytics,"Developer of a muscle analytics platform designed to transform magnetic resonance images into holistic, interactive three-dimensional twins of an athlete's exact musculature. The company's platform uses advanced imaging technology to identify and measure every individual muscle asymmetry and detect fat infiltration at the individual muscle level, enabling coaches to track the progress and efficacy of programs that are created for performance and injury recovery.",springbokanalytics.com
Cloverleaf Communications,Provider of virtualization and unified storage software products. The company offers intelligent storage networking system products that work across various storage arrays and support a suite of data management services.,cloverleafcomm.com
Candesant Biomedical,Imagine “Sweat Control” in just 3 minutes: Candesant Biomedical is a clinical stage company developing a novel approach to energy production.,candesant.com
Affomix Corporation,"Mix Afro ambiance by Dj Ken Rm'x #Octobre 974
New Mix avec un rythme afro pour s'ambiancer partout, merci de votre écoute !!!",affomix.com
"4C Medical Technologies, Inc.","4C Medical - We’ve created a new generation of minimally invasive 
technologies for structural heart disease. AltaValve™ is designed to 
broaden the treatable severe Mitral Regurgitation (MR) patient population 
and eliminate known issues in current Transcatheter Mitral Valve 
Replacement (TMVR) technologies.",4cmed.com
TimelyCare,"Provide your college and university community with access to 24/7 mental health, medical, and self-care resources.",timelycare.com
Audiolife,Audiolife.com is a Los Angeles-based company founded by Nishit Rathod.,audiolife.com
ISOPur Fluid Technologies,The Fluid Purification Solution​—The ISOPur product line contains complete oil purification equipment systems as well as a technology package (The AgglomeratorTM). These charging/mixing units provide higher cleanliness levels with sludge/varnish removal and prevention to customers with previously installed filtration.,isopur.us
Copper,"Offer new services like tableside payments and real-time analytics without the need for expensive POS changes or upgrades. Grow revenue and profits, retain customers, retain staff, and save on processing fees.",usecopper.com
"Morgantown Accommodations, LLC","Morgantown Accommodations, LLC",
Veradermics,"Veradermics, Inc. is a medical dermatology company advancing first-in-class therapeutics that address real-world patient needs in under-innovated dermatology markets.",veradermics.com
Saleo,"Developer of sales demo experience platform designed for the sales and revenue department for product management. The company offers data visualization services related to financial figures of the organization, like graphs, metrics, tables, text, images, and icons, enabling businesses to connect directly to customers by removing the burden of missing data, outdated demo environments, and time-consuming demo preparation.",saleo.io
SOAP Health,"Developer of a medical Artificial Intelligence (AI) assistant platform designed to improve physician productivity, reduce errors, and increase patient engagement. The company's platform offers a conversational and generative AI-powered electronic health record (EHR) digital human voice-based interface, patient data collection, and symptom and risk assessment tool, enabling healthcare providers to identify at-risk individuals, improve early disease detection, and reduce disabilities.",soap.health
Mercator.ai,"Mercator.ai is AI-powered business development for the construction industry. Analyze exclusive datasets, track land development, and uncover hidden opportunities in Austin, TX & more. Get the best construction leads with our innovative platform",mercator.ai
FastForward.ai,"The most powerful suite of 360° solutions to empower your digital sales and marketing. Professional e-commerce solutions, AI-powered tools, and technical support to help your business move forward.",fastforward.ai
Bloomfilter,"We’re bridging the gap between product teams and business stakeholders to make the software development process more transparent, predictable, and efficient.",bloomfilter.ai
Heartbeat Health,"Heartbeat Health's nationwide model, uses real-time clinical data and device connectivity to deliver same-day diagnostic reads, televisits and care programs",heartbeathealth.com
WindMIL Therapeutics,"Developer of oncology cell therapies designed to translate novel insights in bone marrow immunology into life-saving systems for cancer patients. The company's therapies utilize re-activated T-cells that normally lie dormant and leverage bone marrow-derived lymphocytes to develop immunotherapies to treat cancer patients, enabling healthcare professionals to harness the unique immunologic properties of the bone marrow to lead the way in cancer cell therapies.",
MyCustoms,"Provider of an Internet-based and automated global trade management service designed to provide connectivity between global 500 companies and their supply chain partners. The company's Internet-based and automated global trade management service was specifically designed to support from anywhere to anywhere trade and has combined global trade expertise and leading edge technology to automate import/export decision making processes enabling their clients to get connected in one central hub and open interfaces for rapid and cost-effective deployment with virtually no interruption to their business.",
Shiru,"AI powered solutions for better discovery, development, and scale up.",shiru.com
Health Note,PRE-APPOINTMENT EHR NOTE,healthnote.com
Clear Water Services,"Clear Water Services provides innovative stormwater, groundwater, and process water treatment solutions custom-designed for each client's unique goals, challenges, and mission.",clearwaterservices.com
Fonbnk,We are the leading global marketplace enabling you to convert your local currency into digital money and vice versa,fonbnk.com
Belfry,"All-in-one security guard services software that helps contract security firms streamline operations, deliver great customer experiences, and grow their businesses.",belfrysoftware.com
"Philter Labs, Inc.","Philter Labs offers advanced personal air filters, enhancing coexistence with others. Our products ensure cleaner air, promoting a harmonious shared space for everyone.",philterlabs.com
BloodQ,"BloodQ develops an analytical platform designed for cancer drug treatment. Its platform captures disease molecular signals in circulating DNA to improve sensitivity, specificity, and timing in diagnostic and disease management, thereby providing patients personalized cancer treatment.",
Cydoor,Desktop marketing and technology solutions that enables advertisers to reach and hyper-target desktop software audiences,
Latent AI,"Discover Latent AI's edge AI platform: optimize, deploy, and adapt AI models with ease for faster, scalable, and secure solutions.",latentai.com
Trusted Insight,"Investment News on Trusted Insight - the platform for institutional investors to discover investment jobs, talent, alternative investment news, syndicates and top investment managers rankings",thetrustedinsight.com/investment-news
WagerWire,WagerWire is an innovative marketplace where players can buy and sell previously placed sports bets or fantasy entries. We empower you to view your action as a portfolio of assets that can be bought and sold at any time.,wagerwire.com
Green Cabbage,"Developer of spend analytics platform designed to secure optimal technology contracts. The company develops a platform equipped with artificial intelligence technology and human-based computation to accelerate the procurement lifecycle, mitigate risks, improve operational efficiencies and deliver optimal pricing and terms, ensuring its clients reduce their technology costs efficiently.",paasadvisors.com
Victor,"Victor's Payment-as-a-Service solution enables any bank to offer modern APIs to their corporate clients and partners. Victor enables businesses to seamless embed financial services like payments, digital wallets, and virtual accounts powered by banks.",victorfi.com
Ditto,Mobile ad-hoc mesh networking and peer-to-peer data sync for your enterprise applications.,ditto.com
CleanFund,"What is a PACE loan? Welcome to CleanFund, the experts in California PACE financing (Commercial Property Assessed Clean Energy) with a Nationwide footprint.",cleanfund.com
Proofpoint Security Awareness Training,Discover Proofpoint Security Awareness Training. Empower your employees with a human risk management program that drives behavior change and builds sustainable security habits.,proofpoint.com/us/products/mitigate-human-risk
1Password,More than a password manager and leader in Extended Access Management. Discover why 1Password is the exclusive Cybersecurity Partner of Oracle Red Bull Racing.,1password.com
Cincinnati Incorporated - NVBOTS Business Unit,"Provider of automated 3D printing services intended to deliver parts in a wide range of metals and plastics. The company's automated 3D printing services include plastic printers which offer automated part removal paired with cloud software, enabling clients to print parts anytime, from any cloud-connected device while providing administrators full workflow control.",nvbots.com
Envelp,"HealthCo es un Fondo Capital Emprendedor que invierte en emprendedores en etapas tempranas en proyectos de alto impacto, que contengan tecnologías",healthco.com.mx
SWIR Vision Systems,"SWIR Vision Systems provides ACUROS CQD sensors and SWIR cameras for machine vision imaging, silicon wafer inspection, and other industrial/commercial applications.",swirvisionsystems.com
CellScope,"Developer a smartphone-enabled otoscope designed for the remote diagnosis of pediatric ear infections. The company utilizes smartphone cameras connected to a web platform, enabling clinicians to promote ear health and treat ear infections and skin diseases.",
Turquoise Health,"Provider of healthcare information services intended to reduce the cost and complexity of healthcare by simplifying administration. The company's platform lets users browse and compare prices of the elective services offered by hospitals, price comparison between insurance services, and the option to browse by the procedure and provider, enabling individuals to save money on elective treatments by comparing prices and healthcare organizations and professionals to drive volume for both cash-paying and insured patients.",turquoise.health
TeamToolz,"TeamToolz creates and implements user-friendly applications that simplify and streamline the creation, management and archiving of marketing communications. Addressing the urgency of time to market, our web-based tools better enable entire brand launches by coordinating the workflow of multiple outside agencies and internal groups, for more integrated worldwide brand management.",teamtoolz.com
Cellares,Cellares is the first Integrated Development and Manufacturing Organization (IDMO) and takes an Industry 4.0 approach to mass manufacturing the living drugs of the 21st century. The company is both developing and operating integrated technologies for cell therapy manufacturing to accelerate access to life-saving cell therapies.,cellares.com
Klipfolio,Klipfolio is a powerful dashboard and reporting analytics platform that helps businesses of all sizes make smarter and faster decisions.,klipfolio.com
Boto.io,"Developer of a no-code automation platform designed for creating, and sharing bots that automate your crypto, NFT, and other blockchain or DeFi activities. The company's platform allows users to drag and drop blocks using UI to build their automation, enabling non-developers to create their smart contracts through UI, using real-world input data and output actions via Chainlink.",boto.io
DevRev,"Boost collaboration and efficiency with DevRev's cloud-based platform for customer support and software development. Native collaboration, analytics, and AI.",devrev.ai
Aerwave,"Developer of a wireless network platform designed to provide fast internet that is instantly available. The company's platform transforms the connected experience for residents by providing smart, instant-on, internet service over a unified network infrastructure with its patented technology that delivers private connectivity across the entire property, enabling property owners to have access to a network backbone that improves efficiencies, conserve resources, optimize production, and enhance the interaction between the virtual and built environment.",aerwave.io
Spellbook,"Spellbook is the #1 Legal AI for for transactional lawyers. Using GPT-4o and other large language models to review and suggest language for your contracts, right in Microsoft Word.",spellbook.legal
Zorus,Hassle-free DNS filtering for the modern era with the power of CyberSight behavioral analytics built to enhance the cybersecurity posture of MSPs and their clients.,zorustech.com
Quaise Energy,Quaise is an energy company unlocking geothermal energy for the world population through millimeter wave drilling technology.,quaise.energy
Salsa,"We make it fast and easy for SaaS platforms to build and embed payroll using our infrastructure, APIs and UI components.",salsa.dev
SlipChip,Talis Biomedical Corp is engaged in developing and commercializing products designed to enable molecular testing for infectious diseases and other conditions at the point-of-care. Its Talis One System is a molecular diagnostic platform developed to enable point-of-care testing for infectious diseases such as COVID-19.,
BigTeams,"We help Athletic Directors schedule faster, communicate better, and manage teams more efficiently. For over 55 years, BigTeams has delivered reliable, time-saving Athletic Scheduling and Team Management software.",bigteams.com
Recontour,Recontour is an ecommerce aggregator committed to redefine the future of high potential brands,recontour.io
aiXplain,aiXplain is the place where nothing stands between you and the power of AI.,aixplain.com
Olive,"Create RFPs in minutes with Olive. Start your free account today to gather requirements, compare vendors, and streamline your software selection process.",olive.app
CrowdStrike Falcon Surface ,Get full visibility and control over your external attack surface with adversary-driven insights from CrowdStrike Falcon® Exposure Management.,crowdstrike.com/platform/exposure-management/easm
Karbon-X,Join the Movement. Free the Future.,karbon-x.com
Remotebase,"Get thoroughly vetted software developers from all over the world with expertise in AI, ML, back-end, front-end and more. Risk-free trial available!",remotebase.com
DELV,New Protocols for New Markets,delv.tech
Vest,"Leading defined outcome investing since 2012, with $40+ Billion assets under management & non-discretionary assets under supervision.Vest's flagship Buffer strategy, with downside protection and upside capture, is the industry standard for Buffer ETFs, mutual funds, UITs, CITs and VITs.",vestfin.com
Reconstruct Inc,"Remote quality control, progress monitoring, and facilities assessment with Reconstruct's reality mapping technology. Save time, money, and travel.",reconstructinc.com
Yardstik,"Yardstik offers measurably better background screening with 12% average cost savings and 10% average fewer screenings. Ditch the slow, costly legacy providers and embrace the speed, efficiency, and transparency you deserve with Yardstik.",yardstik.com
Moichor,"Moichor’s Pathview device revolutionizes veterinary diagnostics for dogs, 
cats, and all species, providing rapid AI-powered hematology and cytology 
with 15-minute preliminary and 3-hour comprehensive results—like having a 
pathologist in your clinic. We also offer a reference lab for all 
diagnostic needs. Discover how Pathview enhances veterinary care—request a 
demo today!",moichor.com
"Trickest, Inc.","Trickest offers an all-in-one platform for offensive security. Visualize, scale, and customize ASM, Vulnerability Scanning, DAST, and more workflows.",trickest.com
"MycoMedica Life Sciences, PBC",MycoMedica Life Sciences is a pioneering biopharmaceutical company whose mission is to revolutionize the development of a new class of safe and efficacious psychedelic medications for mental health and neurodegenerative disorders.,mycomedica.com
"Supportkids Services, Inc.",Largest private child support enforcement company in the country. We can help you collect your child support. Flexible fee options. Get started today!,supportkids.com
Voltage,Set up enterprise-grade Bitcoin and Lightning network infrastructure in less than two minutes.,voltage.cloud
Cell Care Therapeutics,Cell Care Therapeutics is a Los Angeles based preclinical stage biotech company developing biologics for the treatment of retinal diseases,cell-care.com
Allegro Diagnostics,"Operator of a molecular diagnostics company intended to focus on the development and commercialization of innovative genomic tests for the diagnosis, staging, and informed treatment of lung cancer and other lung diseases. The company's molecular testing platform utilizes a genomic biomarker to analyze specific changes in gene expression in epithelial cells of the airway and detect early signs of lung cancer in current and former smokers, thereby enabling clients with additional critical diagnostic information to support more rapid diagnosis and treatment.",allegrodx.com
Occuspace,"Developer of crowd monitoring technology designed for optimum occupancy management and safety. The company's platform offers real-time and historical occupancy data by leveraging IoT sensors that analyze radio frequency signals, enabling clients to make space allocation and planning decisions.",occuspace.com
Creatopy,"Create, manage, scale, and deliver ad campaigns effortlessly with Creatopy's AI-driven creative automation platform. Streamline your workflow and maximize the efficiency of your ad campaigns.",creatopy.com
SignalSet,Company,
Epican,"Developer of molecular medical test designed to provide medical technology services, products and system solutions for tumors, cancers and chronic diseases. The company focuses on the development, production and service of molecular diagnostics (genetic diagnostics) products, enabling people to detect and treat illnesses early.",
HELIXintel,"Developer of a CMMS (computerized maintenance management system) platform intended to help businesses organize, track, and maintain their property and equipment. The company's platform features the ability to track the condition of all equipment, extend the equipment's life, and reduce the environmental footprint, enabling businesses to save cash, staff time, energy, and equipment uptime.",helixintel.com
Elion,"The U.S. healthcare system is undergoing a transformative shift as AI is being applied to nearly every aspect of administration and clinical care. Within the context of revenue cycle management (RCM), AI-driven solutions claim to 
streamline eligibility verification, automate claims processing, enhance coding accuracy, and improve patient payment collections. 
But, can vendors deliver on these promises today?",elion.health
Leadr,Leadr makes managers more effective through world-class training powered by software. We help you transition from people management to people development.,leadr.com
VeriSIM Life,"Make confident decisions about drug development, quickly and efficiently, using a decision-engine that takes your toughest translational questions and generate actionable insights to guide your next steps.",verisimlife.com
PayZen,"Trusted healthcare financial technology used by top US hospitals and health systems, offering tailored payment solutions unmatched by other patient financing companies",payzen.com
Cloudsaver,"Developer of cloud service management tools designed for enterprise IT organizations. The company's tool offers visibility and transparency and helps users create customizable drill-down invoice templates, compare invoices, and analyze spending with a detailed real-time cost tracker, enabling clients to eliminate unnecessary spending and optimize key resources.",cloudsaver.com
Scenario,Generate production-ready visuals faster and more efficiently.,scenario.com
DeepScribe,"Transform patient conversations into clinical notes with DeepScribe's ambient AI platform - rated 98.8/100 by KLAS Research. Eliminate after-hours documentation and reclaim your time.",deepscribe.ai
Helio Genomics,"A wide range of treatment, counseling and support programs for individuals suffering from alcohol, drug, gambling, eating and other mental health disorders.",helio.health
Ayyeka,Comprehensive solutions to interact with remote infrastructure assets. Manage field data and make intelligent decisions in real time.,ayyeka.com
"Kryptos Biotechnologies, Inc.",Groundbreaking biotechnology that improves patient lives as well as the tools utilized by the clinicians and scientists who care for them.,kryptosbio.com
Nautilus Labs,Nautilus Labs is helping the world’s biggest owners and charterers work towards profitable maritime decarbonization.,nautiluslabs.com
Confetti,"Discover and book from hundreds of exclusive team building, DE&I, and professional development experiences. For virtual, hybrid, and in-person teams!",withconfetti.com
Rainplan,"Welcome to a platform connecting property owners to incentives, vetted installers to projects, and helping everyone with project assurance.",myrainplan.com
Omnient Corporation,"Teaming with you, Omnient provides one-stop solutions for all of your e-business and e-commerce needs. They explore your vision and analyze your options, making sense of internet technology and mapping the best routes. They help you plan for growth... and the unexpected.",
PriMED Physicians,"Provider of an online community for parents, pediatricians and child care professionals. The company provides pediatric professionals and the families in their care with tools, resources and educational programs to enhance patient care and practice efficiency.",beansprout.net
Biofine Developments NE,Igniting the industrial bioeconomy in Maine,biofinedevelopments.com
Optable,End-to-end identity graph management & data collaboration platform integrated for activation.,optable.co
Pictos Technologies,"Pictos Technologies offers digital imaging solutions that combine integrated semiconductors, embedded software, and network services software.",
Upflex,"Discover Upflex's flexible workspace solutions for remote teams. Empower your workforce with global access to coworking spaces.",upflex.com
Testim.io,Testim is an automated testing platform for fast authoring of AI-powered stable tests and tools to help you scale quality. Free account.,testim.io
NowDocs,NowDocs business process management software allows enterprise level document management users to print checks created with your financial system and more. Our BPM software will handle any size business.,nowforms.nowdocs.com/so_overview.aspx
Reverie Labs,"Operator of a drug development platform intended to improve the drug design pipeline. The company's platform uses state-of-the-art machine learning methods to screen massive libraries of small molecules and identify potential drug candidates, enabling pharmaceutical companies to run each company's novel crystal structures through their technology and identify small molecules.",
FloWater,"Sustainable, chilled, & 7x purified for most the advanced water on the planet, FloWater is a great addition to schools, offices & gyms. Get a free demo.",drinkflowater.com
Tascent,"Developer of end-to-end biometric identity products designed to offer secure and convenient travel, public safety, and commerce. The company's products include multimodal biometric capture devices and software to capture faces, irises, and fingerprints from consenting individuals without the need for extensive training, enabling users to have a modular and adaptable approach to biometrics.",
Zumutor Biologics,"Operator of an immuno-oncology company intended to offer targeted cell therapeutics. The company develops high-diversity human antibody libraries to identify novel Immunotherapies and improved monoclonal antibodies, enabling clinicians to get novel immunotherapies that target innate immunity and regulate the tumor microenvironment.",zumutor.com
Armilla AI,"Armilla AI offers innovative warranty and insurance solutions for AI deployments, ensuring transparency, fairness, and performance. Explore our 2-week AI assessments and how we help enterprises and vendors build trust in AI.",armilla.ai
Innovative FOTO,"Photo Booth Manufacturer. Innovative FOTO is the largest manufacturer, operator and distributor of digital imaging photo booths in the US.",innovativefoto.com
Neu.ro,"Apolo offers a white-label solution tailored for data centers, enabling them to provide powerful GPU-as-a-Service right where the clients' data resides. Explore how Apolo can prepare your data center for the AI age.",apolo.us
Forecast Health,"Custom healthcare software development by Elinext: delivering innovative, efficient healthcare solutions tailored to optimize patient care.",elinext.com/industries/healthcare
Honeycomb Insurance,"At Honeycomb Insurance we're simplifying the real estate insurance process, making it easier to find better coverage at a fraction of the cost",honeycombinsurance.com
AKA,Find the best Tesla Model for you,tesla.eos.akaintelligence.com
Syncfy,"LATAM's leading financial API.",syncfy.com
Stelo Labs,"Imagine a world where every time you went to buy a cup of coffee, there was a small chance that all of your money was stolen, says Stelo Labs, a web3 security company. So you have three wallets: one for coffee, one for shopping, and one for your parents' basement.",stelolabs.com.
Outbuild,"Outbuild is the first, fully-integrated scheduling and planning software built specifically for construction. Master Schedules and Lookaheads finally connected!",outbuild.com
"Stathera, Inc.","Manufacturer of oscillator boards intended to provide ultra-stable, low jitter, and temperature-insensitive kHz and MHz output. The company's boards specialize in true dual-output MEMS oscillators which replace two quartz oscillators with simplification of system design, miniaturization, BOM reduction, lower current consumption, and lower system cost for a variety of applications including wearables, IoT, and smartphones, enabling clients to prevent premature failure, shorter battery life, and higher system cost.",stathera.com
Akkio,Experience the power of application-specific AI.  Akkio makes it easy for media agencies to easily and instantly understand their data and act on it for better client results.,akkio.com
Puzzle Financial,"Puzzle is a QuickBooks alternative for startups. Get real-time finance insights and startup metrics like cash, burn, runway, ARR/MRR, with automated revenue recognition and more.",puzzle.io
Swell,"Developer of an e-commerce platform designed for customization and headless integration. The company's platform offers features such as an application programming interface, a customizable content management system, and subscription management functionalities, enabling businesses to create unique shopping experiences and cater to complex business models.",swell.is
Mixedbread,Mixedbread provides industry-leading search and RAG capabilities tailored to meet the needs of enterprise and developer use cases that solve real-world problems.,mixedbread.com
vLinx,Launching Soon,vlinx.com
Lingo Live,"Lingo Live offers 1:1 leadership skills coaching that delivers behavior change and business results. Through applied learning, bring...",lingolive.com
Strivacity,Strivacity is the leading customer identity and access management (CIAM) platform. Deliver unexpectedly simple registration and sign-in experiences.,strivacity.com
Aliaswire,We make it easy to manage complex billing and payments. Our EBPP platform includes surcharging and bank account validation.,aliaswire.com
Joyride Games,We build multimedia franchises around mobile games. Our team has built games that have engaged hundreds of millions of players over decades.,onjoyride.com
Fourth Power,"Developer of thermal battery storage designed to harness wasted wind and solar production to respond to grid needs with fossil fuels. The company's product provides storage to meet needs now and scale with renewable deployment and offers a modular storage system that grows with the grid providing short-duration storage now and long-duration energy storage later as the transition to fully decarbonized infrastructure takes place, enabling clients to give grid operators complete control over how and when the stored energy is used.",gofourth.com
Bayspair,"Bayspair Inc. provides the most flexible genome editing solutions. Our technology made it very easy to rewrite the genome sequence as desired, which was difficult to do with conventional technologies that excel at gene disruption. In addition, Bayspair's proprietary nuclease system enables genome editing without CRISPR/Cas9. Bayspair frees you from technical challenges and licensing issues associated with genome editing technology, accelerating your R&D and business.",bayspair.com
"NXT Power, LLC",NXT Power offers advanced power quality solutions that help businesses protect their critical electronic systems from the damaging effects of unreliable power. Learn more about how our transformer-based power conditioners & UPS systems can benefit you.,nxtpower.com
Peanut Labs,"Provider of consumer surveys into social media sites. The company runs surveys used in the gaming, consumer products, entertainment and other industries by advertisers who want to sell things to young people.",
"Santa Ana Bio, Inc.","Operator of a biotechnology company intended to develop precision immunology for autoimmune diseases. The company leverages single-cell genomics and advanced analytics to design personalized biologics for autoimmune diseases, enabling customers to receive effective and targeted treatments that can lead to
expected outcomes and improved quality of life.",santaanabio.com
NomadGo,"Automate inventory tracking with Nomad Go’s AI solution, reducing errors and optimizing ordering for a seamless supply chain.",nomad-go.com
Zuman HR,Premium HRFor BetterPeople Operations,zuman.com
SilverCloud Health,"The SilverCloud® by Amwell® platform offers 30+ online behavioural health programmes to address a wide-range of issues, from anxiety to depression and many more.",silvercloudhealth.com
SoMoLend,Finn billigste forbrukslån uten sikkerhet. Sammenlign for å finne de beste tilbudene på lån. Uforpliktende inntil 600K. Oppdatert april.,xn--billigsteforbruksln-ixb.com
DeNexus,"Quantify cyber risks, optimize cybersecurity budgets, and right-size your cyber insurance coverage with a full-stack solution for cyber risk management",denexus.io
Molten Cloud,"One single hub for unparalleled efficiency. The only end-to-end platform that truly does it all. It's that easy.",moltencloud.com
Observable,"The end-to-end solution for creating expressive data apps, dashboards, and reports. Discover richer insights in your data today.",observablehq.com
Albert Invent,"Meet Albert Invent, the all-in-one platform revolutionizing materials science R&D. Powered by AI, we streamline data management, accelerate research, and empower innovation for modern labs.",albertinvent.com
Drishti,"Developer of motion recognition and artificial intelligence technology designed to extend human capabilities. The company's technology automatically digitizes human actions inside the factory to create a massive new dataset, enabling manufacturers to get the benefit of digital transformation while simultaneously making line workers competitive against automation.",
Digits,"End-to-end accounting software for the AI era: Bookkeeping, Financials, Invoicing, Bill Pay. Try Digits for free today.",digits.com
Intertech Management Group,"Intertech has over a decade of experience in the telecommunication industry. Founded in 1987, the company has built upon its background in telecommunications engineering and networking to become a driving force in Next Generation billing and customer care solutions for the high speed data (IP, xDSL, ATM, Frame Relay, Private Line) and CLEC services (Local, Long Distance, Enhanced Voice, Internet) for the wholesale and retail markets.


Since its inception, Intertech has concentrated on designing and developing innovative, ground breaking software solutions for the telecommunications marketplace. Their world-class development center is equipped with the most advanced tools available to allow products of the highest quality and reliability.

Intertech’s strong focus on the high speed data and CLEC markets has allowed it to amass an unmatched level of business and technical expertise in these market segments. Because they truly understand the business as well as technical challenges that service providers in these areas face, they are able to quickly assess changes in the market and develop specific solutions that help providers maintain their competitive edge.

Their partnership approach to their customers and their service bureau experience mean they are also experts in the operational aspects of billing and customer care. In other words, they know how to build world-class billing and customer care systems AND they know how to implement, operate and maintain them.",intertech-ns.com
Reco,"Reco’s Dynamic SaaS Security platform keeps pace with ever-evolving SaaS sprawl—protecting your apps, identities, and data from discovery to threat detection.",reco.ai
Darwinium,"Developer of a decision technology platform designed to harmonize security, fraud, and customer experience. The company's platform uses integrated machine learning, orchestration, and analytics to safeguard mobile apps, websites, and APIs against advanced automated attacks by protecting customer privacy and minimizing risk exposure with anonymization, masking, and secure computing techniques, enabling clients to increase revenues, cut fraud losses and block bot activity.",darwinium.com
Essential,"Developer of an intent-based infrastructure and tooling intended to accelerate the transition from value extraction to intent satisfaction. The company's platform builds several core pieces of intent-centric infrastructure that are committed to supporting ecosystem-wide composability to ensure the intent paradigm reaches its full potential to minimize extractive behavior and maximize user satisfaction, enabling clients to get a domain-specific language for intent expression, and a fully intent-centric blockchain protocol.",essential.builders
Siterra,"Provider of Web-based, collaborative software solutions for the lifecycle management of property and operating assets in the wireless, retail, corporate real estate and energy markets. The company's solutions are used in connection with more than 300,000 properties and assets worldwide for companies of every size. It provides project, document and property management solutions for companies that manage large numbers of high value real estate properties and operating assets.",
Finix,Finix is a payments technology provider enabling businesses to accept and send payments online or in person.,finix.com
